Areas_X,Ratios_X
3.0,3.0
2.0,10.0
6.0,2.6666667461395264
3.0,3.0
10.0,1.875
4.0,1.0
4.0,1.0
4.0,1.0
5.0,3.0
3.0,3.0
2.0,10.0
5.0,3.0
3.0,3.0
4.0,2.6666667461395264
2.0,10.0
4.0,1.0
2.0,10.0
2.0,10.0
3.0,3.0
3.0,3.0
3.0,3.0
2.0,10.0
3.0,3.0
9.0,1.9321873188018799
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,1.0
5.0,3.0
4.0,1.0
2.0,10.0
4.0,6.85410213470459
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
3.0,3.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,2.6666667461395264
3.0,3.0
4.0,2.6666667461395264
7.0,1.1666666269302368
3.0,3.0
4.0,1.0
5.0,3.0
2.0,10.0
4.0,1.0
3.0,3.0
3.0,3.0
2.0,10.0
5.0,1.0
3.0,3.0
4.0,1.0
4.0,1.0
4.0,1.0
5.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
3.0,3.0
4.0,1.0
3.0,3.0
3.0,3.0
3.0,3.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,2.6666667461395264
4.0,2.6666667461395264
4.0,1.0
4.0,1.0
5.0,3.0
4.0,2.6666667461395264
2.0,10.0
4.0,1.0
3.0,3.0
2.0,10.0
5.0,3.0
4.0,1.0
3.0,3.0
3.0,3.0
4.0,1.0
3.0,3.0
2.0,10.0
2.0,10.0
5.0,3.0
4.0,1.0
3.0,3.0
4.0,1.0
8.0,10.0
2.0,10.0
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
3.0,3.0
2.0,10.0
2.0,10.0
4.0,1.0
2.0,10.0
4.0,1.0
3.0,3.0
5.0,1.0
2.0,10.0
5.0,3.0
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,1.0
5.0,3.0
3.0,3.0
2.0,10.0
4.0,1.0
4.0,1.0
2.0,10.0
2.0,10.0
4.0,1.0
2.0,10.0
3.0,3.0
2.0,10.0
3.0,3.0
5.0,3.0
8.0,1.600000023841858
4.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
3.0,3.0
4.0,1.0
4.0,2.6666667461395264
2.0,10.0
4.0,1.0
3.0,3.0
12.0,1.875
3.0,3.0
6.0,2.6666667461395264
4.0,1.0
3.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,2.6666667461395264
4.0,1.0
4.0,2.6666667461395264
5.0,1.0
3.0,3.0
3.0,3.0
5.0,3.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
3.0,3.0
6.0,2.6666667461395264
4.0,1.0
8.0,1.600000023841858
4.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
4.0,1.0
2.0,10.0
2.0,10.0
3.0,3.0
4.0,2.6666667461395264
2.0,10.0
4.0,1.0
8.0,1.600000023841858
2.0,10.0
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
6.0,1.8333333730697632
4.0,1.0
4.0,1.0
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
2.0,10.0
5.0,3.0
5.0,3.0
4.0,1.0
4.0,1.0
2.0,10.0
2.0,10.0
4.0,1.0
4.0,1.0
2.0,10.0
3.0,3.0
5.0,3.0
4.0,1.0
3.0,3.0
11.0,1.3296703100204468
5.0,3.0
3.0,3.0
4.0,1.0
2.0,10.0
6.0,2.6666667461395264
4.0,1.0
9.0,1.9321873188018799
4.0,1.0
2.0,10.0
4.0,2.6666667461395264
2.0,10.0
4.0,1.0
4.0,1.0
4.0,1.0
6.0,2.6666667461395264
2.0,10.0
2.0,10.0
6.0,2.6666667461395264
6.0,2.6666667461395264
4.0,1.0
2.0,10.0
3.0,3.0
2.0,10.0
4.0,2.6666667461395264
4.0,1.0
4.0,1.0
2.0,10.0
6.0,2.6666667461395264
4.0,2.6666667461395264
4.0,1.0
4.0,1.0
4.0,1.0
3.0,3.0
4.0,1.0
2.0,10.0
4.0,1.0
2.0,10.0
10.0,1.875
4.0,1.0
4.0,1.0
2.0,10.0
4.0,1.0
3.0,3.0
4.0,1.0
2.0,10.0
3.0,3.0
2.0,10.0
